Subject;SRTCRT_P1_S1;SRTCRT_N1_S1;SRTCRT_P2_S1;SRTCRT_N2_S1;SRTCRT_P3_S1;S_P1_S1;S_N1_S1;S_P2_S1;S_N2_S1;S_P3_S1;P_P1_S1;P_N1_S1;P_P2_S1;P_N2_S1;P_P3_S1;SRTCRT_P1_S2;SRTCRT_N1_S2;SRTCRT_P2_S2;SRTCRT_N2_S2;SRTCRT_P3_S2;S_P1_S2;S_N1_S2;S_P2_S2;S_N2_S2;S_P3_S2;P_P1_S2;P_N1_S2;P_P2_S2;P_N2_S2;P_P3_S2;PC;PS;M;C;APMeven;APModd
1;-1.7238465523707;-.550346491494247;3.85068059195643E-005; ;1.76021014180953; ; ;1.74814875940832; ; ;-.888260388121858;-.147155831128341;-1.20607227534672; ;.226469453776975; ; ; ; ; ;-1.60853227423648;-2.34483350910792;-.449830089972839; ;1.63456081962422;.3881283935851;-.792102454855016;-.401960871743706;.324260414143912;.962350386375271;-1.02319760362412;-.217777602877221;-.428041966580242;.139389140129656;-2.62566940934443;-1.75972790403407
2;.139532175794602;.697344577170246;.753385657831864;.824653552685014;1.34605677080351;-2.00839670892179;-.69477307906219;-.81441900861134;.504587960046619;-.023639858308255;-.781099851194811;-.166124558605106;.85534186491858;.193666442831045;-.857103348730935;-1.10988152985575;-1.30266802886086;.12510657712168;.291217345293506;.260057062177654;.52552353629048;-.204134395083345;.425126912067733;-.490971692389218;.681377289273878;1.1878966222817;1.28675564761716;.250980446747294;.447448828936418;.669362025381827;.706239095035298;.0295828998659175;.189092252306919;-.401228679993338;-.633291537755162;-.340592497554981
3;-1.90736112408395;-.249179681816611;.165155690592428;2.26835274723906;2.3189264819403;.221208562724547;-.69477307906219;.594015184498702;.964309113442603;-.349336619254696;-.566778777340715;-.166124558605106;1.97003247409908;2.04199179195541;-.0788466397473532;-1.12760642012465;-.738383811803812;1.7735697109603;3.07677456114441;2.32154111025527;-.0424106713497595;-2.05554984505054;1.6193249824204;1.5970396412227;1.40448203643621;-1.23245459614223;-1.65076123631092;.152049943945628;.772218286116661;1.23536226821007;-1.73359897225625;-2.46615158674541;-1.61206111982403;-1.77630811631732;-1.20254235820924;-2.61120914792152
4;.478328308188292;-1.10965628089557;-1.15578177969964;-.607014815247746;-.763781156963024;-1.08538807496067;-.165440627840594;-.804638215603631;-.930059087620155;-1.09378635856085;.45124632346624;-1.00074856758277;-1.02283546287869;.465478994172863;.699410069236229;-1.05670685904905;-2.68202944833364;-.289476965520368;-.958062860603264;-1.22262569547817;-1.16106895912599;-2.65340275076912;-.958251050618035;-1.07012812069034;-.789483503249499;-.18012797943617;-1.19883556186044;-1.29233539695871;-1.13160266976752;-.449320807502232;.0272504199326574;-.673028304440008;-.164623984311999;-.676356825917138;1.07446092360707;1.0785429089241
6;.746541912999964;.50373734237748;.887543369658401;-.312259563026296;-.521540505997237;.616783691565027;.200050826574318;1.1613011789458;.457030599350483;-.158571373557494;-.379247837718381;.554687085511965;1.09965761487595;-.689724349029864;.86104800110205;-1.60617845738495;-1.51166218332643;-1.13838612426361;-1.19441316982698;-.723112253059361;-.455453731451752;-1.93983637942759;1.6193249824204;-.932959492934808;-.390954182370259;.598593716926311;.066556326600884;1.79429629045329;-.0453048302336065;.509550192112675;-.846026266584761;-.180708983393681;-.251947160813541;-.858663540151664;-1.20254235820924;-.624419578850798
7;.675959385417944;1.47177351634131;-.278596740833813;2.12398282778365;1.8227238581878;1.80350907808647;1.12008103941185;-.0612979470177752;.560071547525446;-.279544456194744;1.87112343774963;1.37034236701286;-.137190869283231;.72370091794759;.244429223984289;-1.85432692114955;.202089883291265;-.121669341117634;1.99631600469315;1.0767218966084;-.455453731451752;-1.49626809453962;.235947019734636;.568274933056246;.570446447379657;-2.03222282483883; ;-.00623886053703898;.649029871324155;.163291220029514;-.235459306700527;.0147937665625213;-.482080410149725;-.150641668988048;-.0640407173010846;-.340592497554981
8;.760658418516367;2.69795267002883;1.44481386493787;.0667114755441408;.478678956055046;-.270263567046958;-1.91097740151181;.946123732776213;.12412907447753;-.284197267065408;1.56303689408436;1.18065509224521;.320901161886836;.356753973636135;-.246471161682279;1.76155069370603;2.20843376616076;1.29975994794082;.308099510238057;.680282656593475;.680414683828727;1.78228009811063;.472421885151006;.0196004220341357;.574554997079443;1.12475702527934;1.42233334995231;.666488558514294;.369056201341186;1.09552691409956;-.430292906153756;.202191026256676;-.60426937119521;.452277739852506;.505210103152993;-.624419578850798
9;.252464219925831;.245594362653791;-1.32089896348615; ;-.240228782295033;-.0664824400685286;-1.31232760548739;-.178667463110279; ;.762685178833868;.0493943099898108;-1.13352965992012;.259822224397493; ;.11272424246399; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-.32317424664087;.50816850458864;-.826113257778132;-.394616760839138;.505210103152993;.227061665036653
10;-.248671725906502;-.0770843620008189;.691466713911923;.283266354727247;1.4476415599182;.508899565517623;1.22090626821597;1.78727193143915;1.30513686509825;.506780580947378;.478036457698002;-.488592925710112;1.86314433349273;1.10423848982613;.843088230894736;-.471785480175357;-.0382533943441443;.470592862656721;1.66430009411698;.505849390986908;-.834076536545245;.027292536162555;1.28826017083749;.263455760266185;.570446447379657;.661733313928675;.382904298716216;1.02263836860029;.996197222103035;.649385546223183;-.23305351774576;-.696371928895484;-.687831325742703;.0637851311202352;-.633291537755162;.227061665036653
11;.379512769573465; ;-1.08354301179304;-1.2326177995545;-.615311080564639;-1.05542026216973;.389098130582031;-1.0002540757578;-1.75438667301985;-.940243599828954;.638777263088574;.0994376260696042;-1.23661174409139;-.241233639315864;-.875063118938249;-1.41120466442705;-.738383811803812;-.901481242753868;-1.41950870242099;-.849972809864137;-1.55690189172373;-.811630089603831;-.958251050618035;-1.03202572409158;-.781266403849926;-1.5060595164858;-1.0632578595253;-1.31212149751904;.817014073313936;-.535885550523023;-.016539994040374;.0708179380080907;-.306159056279418;.24388433743165;.220584692925954;.227061665036653
12;.0830661537289861;.138034787768922;.774025305805177;-.546860682141328;-.951322306097828;-.228308629139634;-.972042458273503;.760288665629748;-1.4214851481469;-.0282926691789182;-.164926763864285;.34603108326755;.183473552535816;.397525856337408;-.91696924942198;1.14117953429453;.118492221505035;-.52638184703011;-.823005541046857;-.588322911454286;-.455453731451752;-.0498497742527454;-.709952441930846;-1.03964620341133;-.243046393177964;.240802667246252;-.656524752519874;.468627552910961;-.773236372189324;-.469297286660876;-.0698136440115296;.247578759517191;.460317021016863;.813970803062887;-1.20254235820924;.51088874633247
