"resp","rt"
0,0.504
1,0.293
1,0.299
1,0.303
1,0.303
1,0.31
1,0.312
1,0.314
1,0.315
1,0.315
1,0.316
1,0.319
1,0.32
1,0.322
1,0.323
1,0.325
1,0.326
1,0.326
1,0.327
1,0.327
1,0.327
1,0.329
1,0.329
1,0.329
1,0.33
1,0.331
1,0.331
1,0.332
1,0.332
1,0.334
1,0.334
1,0.335
1,0.337
1,0.337
1,0.339
1,0.34
1,0.341
1,0.341
1,0.342
1,0.343
1,0.343
1,0.344
1,0.344
1,0.344
1,0.346
1,0.347
1,0.349
1,0.35
1,0.35
1,0.35
1,0.351
1,0.351
1,0.352
1,0.352
1,0.352
1,0.353
1,0.354
1,0.354
1,0.355
1,0.355
1,0.356
1,0.356
1,0.357
1,0.357
1,0.357
1,0.357
1,0.358
1,0.358
1,0.359
1,0.359
1,0.359
1,0.359
1,0.359
1,0.359
1,0.36
1,0.36
1,0.361
1,0.361
1,0.362
1,0.363
1,0.363
1,0.364
1,0.364
1,0.364
1,0.365
1,0.365
1,0.365
1,0.365
1,0.366
1,0.368
1,0.369
1,0.37
1,0.37
1,0.37
1,0.371
1,0.371
1,0.372
1,0.372
1,0.372
1,0.373
1,0.373
1,0.374
1,0.374
1,0.376
1,0.377
1,0.377
1,0.378
1,0.378
1,0.379
1,0.38
1,0.382
1,0.383
1,0.383
1,0.383
1,0.384
1,0.385
1,0.386
1,0.386
1,0.386
1,0.386
1,0.387
1,0.387
1,0.389
1,0.39
1,0.392
1,0.394
1,0.394
1,0.395
1,0.396
1,0.398
1,0.398
1,0.399
1,0.4
1,0.401
1,0.403
1,0.404
1,0.404
1,0.406
1,0.406
1,0.406
1,0.406
1,0.407
1,0.409
1,0.411
1,0.411
1,0.411
1,0.413
1,0.413
1,0.413
1,0.414
1,0.416
1,0.416
1,0.416
1,0.417
1,0.418
1,0.418
1,0.422
1,0.423
1,0.424
1,0.425
1,0.426
1,0.426
1,0.426
1,0.427
1,0.428
1,0.428
1,0.431
1,0.433
1,0.434
1,0.435
1,0.435
1,0.438
1,0.439
1,0.44
1,0.441
1,0.447
1,0.447
1,0.455
1,0.456
1,0.459
1,0.466
1,0.467
1,0.467
1,0.468
1,0.469
1,0.471
1,0.473
1,0.475
1,0.48
1,0.481
1,0.489
1,0.491
1,0.495
1,0.507
1,0.533
1,0.537
1,0.538
