"","Character","Episode_order","Season","Episode","Season_Episode","F_count_RK","F_count_total","cum_rk_season","cum_total_season","cum_rk_overall","cum_total_overall","F_score","F_perc","Dating_flag","Coaching_flag","Imdb_rating"
"1","Roy Kent",1,1,1,"S1_e1",2,13,2,13,2,13,0.153846153846154,15.4,"No","No",7.8
"2","Roy Kent",2,1,2,"S1_e2",2,8,4,21,4,21,0.25,25,"No","No",8.1
"3","Roy Kent",3,1,3,"S1_e3",7,13,11,34,11,34,0.538461538461538,53.8,"No","No",8.5
"4","Roy Kent",4,1,4,"S1_e4",8,17,19,51,19,51,0.470588235294118,47.1,"No","No",8.2
"5","Roy Kent",5,1,5,"S1_e5",4,13,23,64,23,64,0.307692307692308,30.8,"No","No",8.9
"6","Roy Kent",6,1,6,"S1_e6",2,9,25,73,25,73,0.222222222222222,22.2,"No","No",8.5
"7","Roy Kent",7,1,7,"S1_e7",5,15,30,88,30,88,0.333333333333333,33.3,"No","No",9
"8","Roy Kent",8,1,8,"S1_e8",7,18,37,106,37,106,0.388888888888889,38.9,"Yes","No",8.7
"9","Roy Kent",9,1,9,"S1_e9",14,22,51,128,51,128,0.636363636363636,63.6,"Yes","No",8.6
"10","Roy Kent",10,1,10,"S1_e10",5,22,56,150,56,150,0.227272727272727,22.7,"Yes","No",9.1
"11","Roy Kent",11,2,1,"S2_e1",11,16,11,16,67,166,0.6875,68.8,"Yes","No",7.6
"12","Roy Kent",12,2,2,"S2_e2",10,22,21,38,77,188,0.454545454545455,45.5,"Yes","No",8
"13","Roy Kent",13,2,3,"S2_e3",2,8,23,46,79,196,0.25,25,"Yes","No",8.4
"14","Roy Kent",14,2,4,"S2_e4",2,6,25,52,81,202,0.333333333333333,33.3,"Yes","No",8.6
"15","Roy Kent",15,2,5,"S2_e5",23,32,48,84,104,234,0.71875,71.9,"Yes","Yes",8.9
"16","Roy Kent",16,2,6,"S2_e6",12,18,60,102,116,252,0.666666666666667,66.7,"Yes","Yes",8.6
"17","Roy Kent",17,2,7,"S2_e7",6,15,66,117,122,267,0.4,40,"Yes","Yes",7.7
"18","Roy Kent",18,2,8,"S2_e8",5,17,71,134,127,284,0.294117647058824,29.4,"Yes","Yes",9
"19","Roy Kent",19,2,9,"S2_e9",3,12,74,146,130,296,0.25,25,"Yes","Yes",6.8
"20","Roy Kent",20,2,10,"S2_e10",4,13,78,159,134,309,0.307692307692308,30.8,"Yes","Yes",8.5
"21","Roy Kent",21,2,11,"S2_e11",5,12,83,171,139,321,0.416666666666667,41.7,"Yes","Yes",8.2
"22","Roy Kent",22,2,12,"S2_e12",23,44,106,215,162,365,0.522727272727273,52.3,"Yes","Yes",8.8
"23","Roy Kent",23,3,1,"S3_e1",6,17,6,17,168,382,0.352941176470588,35.3,"No","Yes",7.7
"24","Roy Kent",24,3,2,"S3_e2",16,31,22,48,184,413,0.516129032258065,51.6,"No","Yes",8.3
"25","Roy Kent",25,3,3,"S3_e3",10,25,32,73,194,438,0.4,40,"No","Yes",7.9
"26","Roy Kent",26,3,4,"S3_e4",17,42,49,115,211,480,0.404761904761905,40.5,"No","Yes",8.2
"27","Roy Kent",27,3,5,"S3_e5",13,36,62,151,224,516,0.361111111111111,36.1,"No","Yes",7.1
"28","Roy Kent",28,3,6,"S3_e6",13,21,75,172,237,537,0.619047619047619,61.9,"No","Yes",9
"29","Roy Kent",29,3,7,"S3_e7",10,30,85,202,247,567,0.333333333333333,33.3,"No","Yes",8.3
"30","Roy Kent",30,3,8,"S3_e8",6,26,91,228,253,593,0.230769230769231,23.1,"No","Yes",6.6
"31","Roy Kent",31,3,9,"S3_e9",13,46,104,274,266,639,0.282608695652174,28.3,"No","Yes",8.5
"32","Roy Kent",32,3,10,"S3_e10",10,18,114,292,276,657,0.555555555555556,55.6,"No","Yes",8.5
"33","Roy Kent",33,3,11,"S3_e11",13,46,127,338,289,703,0.282608695652174,28.3,"No","Yes",9.3
"34","Roy Kent",34,3,12,"S3_e12",11,39,138,377,300,742,0.282051282051282,28.2,"No","Yes",9.4
