"resp","rt"
0,0.402
0,0.713
1,0.367
1,0.388
1,0.407
1,0.413
1,0.413
1,0.426
1,0.429
1,0.443
1,0.445
1,0.447
1,0.466
1,0.472
1,0.476
1,0.479
1,0.479
1,0.48
1,0.481
1,0.489
1,0.498
1,0.5
1,0.504
1,0.508
1,0.513
1,0.513
1,0.515
1,0.518
1,0.521
1,0.524
1,0.525
1,0.528
1,0.53
1,0.534
1,0.534
1,0.541
1,0.541
1,0.545
1,0.545
1,0.546
1,0.546
1,0.548
1,0.548
1,0.549
1,0.55
1,0.55
1,0.55
1,0.551
1,0.555
1,0.555
1,0.556
1,0.556
1,0.557
1,0.559
1,0.564
1,0.564
1,0.565
1,0.565
1,0.565
1,0.566
1,0.568
1,0.57
1,0.574
1,0.574
1,0.576
1,0.576
1,0.578
1,0.579
1,0.584
1,0.586
1,0.591
1,0.592
1,0.592
1,0.592
1,0.593
1,0.6
1,0.6
1,0.601
1,0.602
1,0.602
1,0.604
1,0.605
1,0.606
1,0.607
1,0.61
1,0.612
1,0.616
1,0.616
1,0.618
1,0.62
1,0.621
1,0.622
1,0.622
1,0.623
1,0.625
1,0.626
1,0.627
1,0.627
1,0.628
1,0.629
1,0.629
1,0.633
1,0.634
1,0.635
1,0.638
1,0.639
1,0.639
1,0.647
1,0.648
1,0.649
1,0.652
1,0.655
1,0.655
1,0.656
1,0.657
1,0.657
1,0.657
1,0.665
1,0.666
1,0.666
1,0.667
1,0.667
1,0.668
1,0.669
1,0.67
1,0.671
1,0.673
1,0.675
1,0.676
1,0.676
1,0.679
1,0.686
1,0.687
1,0.688
1,0.692
1,0.692
1,0.694
1,0.696
1,0.698
1,0.698
1,0.699
1,0.7
1,0.701
1,0.703
1,0.703
1,0.711
1,0.712
1,0.717
1,0.718
1,0.721
1,0.722
1,0.724
1,0.728
1,0.729
1,0.73
1,0.731
1,0.732
1,0.732
1,0.733
1,0.735
1,0.737
1,0.746
1,0.747
1,0.748
1,0.75
1,0.751
1,0.753
1,0.755
1,0.758
1,0.758
1,0.759
1,0.762
1,0.765
1,0.767
1,0.769
1,0.773
1,0.775
1,0.78
1,0.784
1,0.785
1,0.786
1,0.799
1,0.806
1,0.81
1,0.815
1,0.826
1,0.843
1,0.852
1,0.857
1,0.862
1,0.864
1,0.894
1,0.907
1,0.92
1,0.946
1,0.964
1,0.996
